epoch,nil_nil_rate,mean_abs_vf,weight_norm_change,grad_norm,policy_loss,policy_top1_agreement,mcts_visit_entropy,pre_td_ramp
1,0.150,0.6646,0.0037,4.3131,2.0041,0.4138,0.875,+0.8069
2,0.125,0.6839,0.0020,3.8870,1.9802,0.4198,0.878,+0.8254
3,0.200,0.6583,0.0035,3.9804,1.9779,0.4322,0.877,+0.7919
4,0.225,0.6486,0.0006,4.1247,1.9805,0.4298,0.873,+0.8580
5,0.200,0.6518,0.0001,4.1100,1.9801,0.4172,0.880,+0.8482
6,0.175,0.6220,0.0008,4.6018,1.9959,0.4199,0.880,+0.7718
7,0.125,0.6777,0.0022,3.8463,1.9805,0.4214,0.880,+0.7052
8,0.125,0.6663,0.0012,4.3767,1.9870,0.4177,0.878,+0.7429
9,0.200,0.6325,0.0017,4.2424,1.9953,0.4159,0.873,+0.6623
10,0.225,0.6586,0.0004,3.5292,2.0061,0.4182,0.882,+0.7266
11,0.275,0.6493,0.0019,3.5683,1.9741,0.4398,0.880,+0.6871
12,0.225,0.6651,0.0000,4.0464,2.0150,0.4237,0.878,+0.6685
13,0.200,0.6357,0.0015,4.2162,1.9987,0.4312,0.877,+0.5550
14,0.200,0.6251,0.0015,4.2240,1.9866,0.4205,0.879,+0.6231
15,0.200,0.6413,0.0021,4.3108,1.9831,0.4094,0.880,+0.6005
16,0.250,0.6060,0.0019,3.9528,1.9668,0.4411,0.879,+0.5961
